date,patch,team_1,team_2,winner_team,bans,picks,team_player,players
2022-10-31,12.18,Gen.G,DRX,DRX,Heimerdinger,Renekton,Gen.G,Doran
2022-10-30,12.18,Gen.G,DRX,DRX,Heimerdinger,Sejuani,Gen.G,Doran
2022-10-30,12.18,DRX,Gen.G,DRX,Lucian,Gragas,DRX,Kingen
2022-10-30,12.18,Gen.G,DRX,Gen.G,Heimerdinger,Fiora,Gen.G,Doran
2022-10-24,12.18,EDward Gaming,DRX,DRX,Heimerdinger,Jax,EDward Gaming,Flandre
2022-10-24,12.18,EDward Gaming,DRX,DRX,Sylas,Aatrox,EDward Gaming,Flandre
2022-10-23,12.18,DRX,EDward Gaming,DRX,Lucian,Aatrox,DRX,Kingen
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Lucian,Aatrox,DRX,Kingen
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Lucian,Fiora,DRX,Kingen
2022-10-16,12.18,DRX,Rogue (European Team),DRX,Ornn,Camille,DRX,Kingen
2022-10-16,12.18,Top Esports,DRX,Top Esports,Heimerdinger,Ornn,Top Esports,Wayward
2022-10-15,12.18,DRX,GAM Esports,DRX,Sett,Aatrox,DRX,Kingen
2022-10-15,12.18,DRX,Rogue (European Team),DRX,Ornn,Aatrox,DRX,Kingen
2022-10-11,12.18,GAM Esports,DRX,DRX,Azir,Jax,GAM Esports,Kiaya
2022-10-10,12.18,DRX,Top Esports,DRX,Poppy,Gnar,DRX,Kingen
2022-10-08,12.18,Rogue (European Team),DRX,Rogue (European Team),Sylas,Maokai,Rogue (European Team),Odoamne
2022-10-03,12.18,DRX,MAD Lions,DRX,Draven,Camille,DRX,Kingen
2022-10-02,12.18,Isurus,DRX,DRX,Akali,Maokai,Isurus,ADD
2022-10-01,12.18,Istanbul Wildcats,DRX,DRX,LeBlanc,Ornn,Istanbul Wildcats,StarScreen
2022-10-01,12.18,DRX,Saigon Buffalo,DRX,Pantheon,Aatrox,DRX,Kingen
2022-09-30,12.18,DRX,Royal Never Give Up,DRX,Fiora,Aatrox,DRX,Kingen
2022-10-30,12.18,JD Gaming,T1,T1,Caitlyn,Sejuani,JD Gaming,369
2022-10-29,12.18,JD Gaming,T1,T1,Caitlyn,Renekton,JD Gaming,369
2022-10-29,12.18,T1,JD Gaming,T1,Sejuani,Yone,T1,Zeus
2022-10-29,12.18,T1,JD Gaming,JD Gaming,Sejuani,Camille,T1,Zeus
2022-10-21,12.18,Royal Never Give Up,T1,T1,Caitlyn,Aatrox,Royal Never Give Up,Breathe
2022-10-21,12.18,Royal Never Give Up,T1,T1,Caitlyn,Fiora,Royal Never Give Up,Breathe
2022-10-21,12.18,T1,Royal Never Give Up,T1,Lissandra,Camille,T1,Zeus
2022-10-13,12.18,EDward Gaming,T1,T1,Azir,Maokai,EDward Gaming,Flandre
2022-10-13,12.18,T1,Cloud9,T1,Viktor,Jayce,T1,Zeus
2022-10-13,12.18,T1,Fnatic,T1,Azir,Yone,T1,Zeus
2022-10-10,12.18,Cloud9,T1,T1,Caitlyn,Jax,Cloud9,Fudge
2022-10-08,12.18,Fnatic,T1,Fnatic,Caitlyn,Aatrox,Fnatic,Wunder
2022-10-08,12.18,T1,EDward Gaming,T1,LeBlanc,Fiora,T1,Zeus
2022-10-31,12.18,Gen.G,DRX,DRX,Akali,Viego,Gen.G,Peanut
2022-10-30,12.18,Gen.G,DRX,DRX,Sylas,Trundle,Gen.G,Peanut
2022-10-30,12.18,DRX,Gen.G,DRX,Singed,Kindred,DRX,Pyosik
2022-10-30,12.18,Gen.G,DRX,Gen.G,Akali,Viego,Gen.G,Peanut
2022-10-24,12.18,EDward Gaming,DRX,DRX,Aatrox,Sejuani,EDward Gaming,JieJie
2022-10-24,12.18,EDward Gaming,DRX,DRX,Akali,Lee Sin,EDward Gaming,JieJie
2022-10-23,12.18,DRX,EDward Gaming,DRX,Azir,Kindred,DRX,Pyosik
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Fiora,Poppy,DRX,Pyosik
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Ryze,Graves,DRX,Pyosik
2022-10-16,12.18,DRX,Rogue (European Team),DRX,Lucian,Vi,DRX,Pyosik
2022-10-16,12.18,Top Esports,DRX,Top Esports,Akali,Viego,Top Esports,Tian
2022-10-15,12.18,DRX,GAM Esports,DRX,Sejuani,Viego,DRX,Pyosik
2022-10-15,12.18,DRX,Rogue (European Team),DRX,Lucian,Vi,DRX,Pyosik
2022-10-11,12.18,GAM Esports,DRX,DRX,Caitlyn,Graves,GAM Esports,Levi
2022-10-10,12.18,DRX,Top Esports,DRX,Sejuani,Graves,DRX,Pyosik
2022-10-08,12.18,Rogue (European Team),DRX,Rogue (European Team),Aatrox,Trundle,Rogue (European Team),Malrang
2022-10-03,12.18,DRX,MAD Lions,DRX,Hecarim,Sejuani,DRX,Pyosik
2022-10-02,12.18,Isurus,DRX,DRX,Caitlyn,Viego,Isurus,Grell
2022-10-01,12.18,Istanbul Wildcats,DRX,DRX,Aatrox,Trundle,Istanbul Wildcats,Ferret
2022-10-01,12.18,DRX,Saigon Buffalo,DRX,Hecarim,Maokai,DRX,Juhan
2022-09-30,12.18,DRX,Royal Never Give Up,DRX,Poppy,Maokai,DRX,Pyosik
2022-10-30,12.18,JD Gaming,T1,T1,Ryze,Bel'Veth,JD Gaming,Kanavi
2022-10-29,12.18,JD Gaming,T1,T1,Yone,Viego,JD Gaming,Kanavi
2022-10-29,12.18,T1,JD Gaming,T1,Viego,Poppy,T1,Oner
2022-10-29,12.18,T1,JD Gaming,JD Gaming,Sylas,Vi,T1,Oner
2022-10-21,12.18,Royal Never Give Up,T1,T1,Graves,Vi,Royal Never Give Up,Wei
2022-10-21,12.18,Royal Never Give Up,T1,T1,Graves,Sejuani,Royal Never Give Up,Wei
2022-10-21,12.18,T1,Royal Never Give Up,T1,Fiora,Graves,T1,Oner
2022-10-13,12.18,EDward Gaming,T1,T1,Aatrox,Graves,EDward Gaming,JieJie
2022-10-13,12.18,T1,Cloud9,T1,Azir,Sejuani,T1,Oner
2022-10-13,12.18,T1,Fnatic,T1,Viktor,Sejuani,T1,Oner
2022-10-10,12.18,Cloud9,T1,T1,Fiora,Poppy,Cloud9,Blaber
2022-10-08,12.18,Fnatic,T1,Fnatic,Fiora,Poppy,Fnatic,Razork
2022-10-08,12.18,T1,EDward Gaming,T1,Maokai,Lee Sin,T1,Oner
2022-10-31,12.18,Gen.G,DRX,DRX,Aatrox,Ryze,Gen.G,Chovy
2022-10-30,12.18,Gen.G,DRX,DRX,Aatrox,Azir,Gen.G,Chovy
2022-10-30,12.18,DRX,Gen.G,DRX,Ryze,Ahri,DRX,Zeka
2022-10-30,12.18,Gen.G,DRX,Gen.G,Aatrox,Sylas,Gen.G,Chovy
2022-10-24,12.18,EDward Gaming,DRX,DRX,Caitlyn,Akali,EDward Gaming,Scout
2022-10-24,12.18,EDward Gaming,DRX,DRX,Caitlyn,LeBlanc,EDward Gaming,Scout
2022-10-23,12.18,DRX,EDward Gaming,DRX,Sejuani,Sylas,DRX,Zeka
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Renekton,Akali,DRX,Zeka
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Sejuani,Orianna,DRX,Zeka
2022-10-16,12.18,DRX,Rogue (European Team),DRX,Maokai,Sylas,DRX,Zeka
2022-10-16,12.18,Top Esports,DRX,Top Esports,Aatrox,Sylas,Top Esports,knight
2022-10-15,12.18,DRX,GAM Esports,DRX,Yuumi,Sylas,DRX,Zeka
2022-10-15,12.18,DRX,Rogue (European Team),DRX,Maokai,Akali,DRX,Zeka
2022-10-11,12.18,GAM Esports,DRX,DRX,Maokai,Taliyah,GAM Esports,Kati
2022-10-10,12.18,DRX,Top Esports,DRX,Renekton,Sylas,DRX,Zeka
2022-10-08,12.18,Rogue (European Team),DRX,Rogue (European Team),Kalista,Azir,Rogue (European Team),Larssen
2022-10-03,12.18,DRX,MAD Lions,DRX,Taliyah,Sylas,DRX,Zeka
2022-10-02,12.18,Isurus,DRX,DRX,Aatrox,Azir,Isurus,seiya
2022-10-01,12.18,Istanbul Wildcats,DRX,DRX,Caitlyn,Azir,Istanbul Wildcats,Serin
2022-10-01,12.18,DRX,Saigon Buffalo,DRX,Aphelios,Azir,DRX,Zeka
